timestamp,symbol,price
# A tiny two-symbol replay for `sherwood run` with feed_path set.
# ROAR: momentum entry near tick 3, take-profit peak, then a stop-loss slide.
2026-01-01T00:00:00Z,ROAR,100.00
2026-01-01T00:00:00Z,HMNI,10.00
2026-01-01T00:01:00Z,ROAR,103.00
2026-01-01T00:01:00Z,HMNI,10.10
2026-01-01T00:02:00Z,ROAR,107.00
2026-01-01T00:02:00Z,HMNI,10.80
2026-01-01T00:03:00Z,ROAR,112.00
2026-01-01T00:03:00Z,HMNI,11.00
2026-01-01T00:04:00Z,ROAR,119.00
2026-01-01T00:04:00Z,HMNI,11.20
2026-01-01T00:05:00Z,ROAR,124.00
2026-01-01T00:05:00Z,HMNI,10.50
2026-01-01T00:06:00Z,ROAR,110.00
2026-01-01T00:06:00Z,HMNI,9.50
2026-01-01T00:07:00Z,ROAR,95.00
2026-01-01T00:07:00Z,HMNI,8.50
